V3RD,V4RD,V5RD,V3SRD,V4SRD,LSIRD,TanakaRD,V3IS,V4IS,V5IS,V3SIS,V4SIS,LSIIS,TanakaIS,Prop,Prop_class
-20.8665,-14.6194,-9.13698,-24.9998,-16.5527,0.0341225,0.516881,-19.5372,-17.9246,-8.10972,-27.0043,-24.6056,0.201097,1.0687,0.391725183,0
-24.5179,-11.9839,-8.77542,-21.9858,-18.4522,0.0390993,0.414886,-24.5745,-23.5024,-7.9908,-28.2412,-20.7783,0.0839929,0.770966,0.275953442,0
-22.6522,-18.5151,-10.0131,-26.1984,-22.6824,0.0615537,0.729292,-23.8509,-23.4558,-8.38378,-25.8398,-21.505,0.046998,0.606984,0.796646118,0
-19.8588,-17.9229,-4.93463,-26.1265,-23.1766,0.160462,0.941892,-23.0327,-21.5259,-6.80162,-22.627,-21.9176,0.0678806,0.713356,1.15382862,1
-16.5692,-8.85644,-5.79301,-14.5654,-10.8976,0.0123588,-0.0640178,-23.9021,-7.08389,-6.57247,-23.1717,-15.2861,0.0471039,0.670705,0.331625521,0
-19.7293,-9.0676,-8.68989,-19.0586,-17.0583,0.128788,0.910333,-22.3944,-21.5209,-7.97165,-23.7306,-18.8558,0.265561,1.20745,0.395907521,0
-22.3964,-21.798,-6.51423,-23.9354,-19.0052,0.257381,1.19469,-25.2885,-24.7415,-5.01276,-27.659,-21.7795,0.394316,1.46804,0.588333607,0
-22.1599,-21.9234,-12.2178,-30.693,-29.022,0.0518171,0.145474,-25.4538,-24.9863,-12.6337,-31.8846,-30.2485,0.0911732,0.79951,0.726201296,0
-20.4047,-19.9309,-4.91152,-23.2181,-18.1374,0.0443855,0.636801,-25.3662,-22.2342,-6.84627,-28.8071,-26.8722,0.283525,1.26946,0.427389979,0
-20.7414,-20.4334,-7.90377,-25.1075,-20.126,0.227091,1.14451,-24.2462,-23.9921,-7.58234,-25.5739,-22.5645,0.324185,1.32623,0.624723911,0
-14.0374,-13.519,-6.00653,-24.2636,-19.9918,0.0484645,0.612062,-18.1966,-12.9363,-5.5146,-20.4948,-17.9916,0.195793,1.07142,0.351354778,0
-21.9629,-21.5941,-5.54709,-24.4679,-22.5896,0.174232,1.01907,-25.5539,-24.1454,-5.32277,-29.7866,-25.8765,0.354757,1.39334,0.57074964,0
-20.6772,-19.9861,-7.34074,-23.1745,-22.7667,0.0986942,0.827243,-24.1556,-23.8116,-7.14768,-31.4469,-25.5796,0.252362,1.16149,0.253417492,0
-17.6164,-11.5192,-6.46362,-21.4532,-17.6002,0.045144,0.0184443,-22.2387,-19.674,-8.5413,-29.4687,-28.3895,0.212435,1.0875,0.473931342,0
-18.1123,-16.0183,-8.19474,-26.0441,-20.634,0.0801491,0.772969,-21.2254,-21.1089,-7.09737,-26.8058,-26.7916,0.166432,0.963684,0.585854769,0
-22.7223,-9.20355,-6.74559,-23.1137,-16.6973,0.0126168,0.232297,-22.9521,-21.5517,-5.5696,-28.1948,-24.0112,0.103281,0.786101,0.45491305,0
-24.3664,-22.6518,-7.7208,-26.692,-23.4239,0.0755104,0.725406,-25.5394,-25.3575,-7.74109,-29.6465,-26.9832,0.174129,1.00388,0.318726569,0
-21.6599,-12.9784,-7.80105,-29.3221,-22.2101,0.132516,0.941517,-26.0215,-21.0846,-6.10324,-31.1787,-29.7383,0.358398,1.39575,0.418119043,0
-21.464,-20.9857,-5.54561,-23.2961,-20.4154,0.0908429,0.817907,-20.8986,-20.729,-5.92533,-23.2677,-20.7383,0.278987,1.23977,0.990865231,1
